U5 amp,U5 ang,U8 amp,U8 ang,P5,Q5,P8,Q8,KS an,Time(0-10s),
0.962901878,19.06734831,0.989758388,24.4023129,0.330953192,0.185538011,-0.766991766,-0.109369091,Line6,,
0.9629009,19.06637069,0.989757077,24.40135839,0.330951286,0.185540058,-0.766989229,-0.109368648,Line6,,
0.962899923,19.06536734,0.989755768,24.40037813,0.330949375,0.185542106,-0.766986711,-0.109368205,Line6,,
0.962898948,19.06433817,0.98975446,24.39937203,0.33094746,0.185544154,-0.766984212,-0.10936776,Line6,,
0.962897973,19.06328308,0.989753154,24.39834,0.33094554,0.185546202,-0.766981733,-0.109367315,Line6,,
0.962897,19.062202,0.989751849,24.39728196,0.330943614,0.185548251,-0.766979273,-0.109366868,Line6,,
0.962896028,19.06109485,0.989750546,24.39619786,0.330941682,0.185550301,-0.766976832,-0.109366421,Line6,,
0.962895057,19.05996158,0.989749244,24.39508764,0.330939744,0.185552352,-0.76697441,-0.109365973,Line6,,
0.962894087,19.05880214,0.989747943,24.39395125,0.3309378,0.185554404,-0.766972006,-0.109365524,Line6,,
0.962893118,19.05761651,0.989746643,24.39278866,0.33093585,0.185556457,-0.766969622,-0.109365074,Line6,,
0.962892151,19.05640465,0.989745345,24.39159985,0.330933892,0.18555851,-0.766967256,-0.109364623,Line6,,
0.962891184,19.05516655,0.989744048,24.39038481,0.330931929,0.185560565,-0.766964909,-0.109364171,Line6,,
0.962890218,19.0539022,0.989742752,24.38914352,0.330929959,0.185562621,-0.76696258,-0.109363718,Line6,,
0.962889254,19.05261163,0.989741457,24.38787601,0.330927982,0.185564677,-0.76696027,-0.109363264,Line6,,
0.96288829,19.05129484,0.989740164,24.38658227,0.330926,0.185566735,-0.766957978,-0.109362809,Line6,,
0.962887327,19.04995185,0.989738872,24.38526235,0.330924012,0.185568793,-0.766955704,-0.109362353,Line6,,
0.962886366,19.04858272,0.989737582,24.38391626,0.330922019,0.185570852,-0.766953449,-0.109361897,Line6,,
0.962885406,19.04718748,0.989736292,24.38254405,0.330920021,0.185572911,-0.766951211,-0.109361439,Line6,,
0.962884447,19.04576619,0.989735005,24.38114579,0.330918019,0.18557497,-0.766948992,-0.109360982,Line6,,
0.962883489,19.04431892,0.989733718,24.37972152,0.330916013,0.18557703,-0.766946791,-0.109360523,Line6,,
0.962882533,19.04284575,0.989732434,24.37827131,0.330914003,0.185579089,-0.766944607,-0.109360064,Line6,,
0.962881578,19.04134675,0.989731151,24.37679525,0.330911991,0.185581148,-0.766942441,-0.109359605,Line6,,
0.962880624,19.03982201,0.989729869,24.37529342,0.330909978,0.185583206,-0.766940292,-0.109359146,Line6,,
0.962879672,19.03827165,0.98972859,24.37376592,0.330907962,0.185585264,-0.76693816,-0.109358686,Line6,,
0.962878722,19.03669576,0.989727312,24.37221285,0.330905946,0.18558732,-0.766936046,-0.109358227,Line6,,
0.962877773,19.03509447,0.989726036,24.37063432,0.330903931,0.185589375,-0.766933949,-0.109357768,Line6,,
0.962876826,19.03346791,0.989724763,24.36903046,0.330901915,0.185591428,-0.766931868,-0.10935731,Line6,,
0.962875881,19.03181619,0.989723491,24.36740138,0.330899902,0.185593479,-0.766929804,-0.109356852,Line6,,
0.962874938,19.03013948,0.989722222,24.36574722,0.33089789,0.185595528,-0.766927756,-0.109356395,Line6,,
U5 amp,U5 ang,U8 amp,U8 ang,P5,Q5,P8,Q8,Load change an ,Time(0-22s),P(pu),Q(pu)
0.962601153,-3.434801787,0.989168452,1.911921319,0.330154369,0.186252068,-0.765835083,-0.111799471,LoadA,0,1,1
0.962601153,-3.434801788,0.989168452,1.911921319,0.330154369,0.186252068,-0.765835083,-0.111799471,LoadA,1,1.1,1
0.962601153,-3.434801788,0.989168452,1.911921318,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,7,0.9,1
0.962601153,-3.434801788,0.989168452,1.911921318,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,13,0.9,1.1
0.962601153,-3.434801789,0.989168452,1.911921317,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,19,0.9,0.9
0.962601153,-3.434801789,0.989168452,1.911921317,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.43480179,0.989168452,1.911921316,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.43480179,0.989168452,1.911921315,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801791,0.989168452,1.911921314,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801792,0.989168452,1.911921313,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801792,0.989168452,1.911921313,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801793,0.989168452,1.911921311,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801794,0.989168452,1.91192131,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801795,0.989168452,1.911921309,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801796,0.989168452,1.911921308,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801797,0.989168452,1.911921307,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801799,0.989168452,1.911921305,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.4348018,0.989168452,1.911921304,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801801,0.989168452,1.911921302,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801803,0.989168452,1.911921301,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801804,0.989168452,1.911921299,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801806,0.989168452,1.911921297,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801808,0.989168452,1.911921295,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.43480181,0.989168452,1.911921293,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801811,0.989168452,1.911921291,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801813,0.989168452,1.911921289,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801815,0.989168452,1.911921287,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801818,0.989168452,1.911921285,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.43480182,0.989168452,1.911921283,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801822,0.989168452,1.911921281,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801825,0.989168452,1.911921278,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801827,0.989168452,1.911921276,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.43480183,0.989168452,1.911921273,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801832,0.989168452,1.911921271,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801835,0.989168452,1.911921268,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801838,0.989168452,1.911921265,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
0.962601153,-3.434801841,0.989168452,1.911921262,0.33015437,0.186252068,-0.765835083,-0.111799471,LoadA,,,
