,ABCG,ABG,BC,CG,BCG,BG,AG,ABC,ACG,AC,AB,avg
TH+TH,0.006694019794860393,46.84910755348325,66.69068220618391,79.51223067462819,47.097757441340754,68.99891410588279,73.8807893159238,97.75623787400741,45.58083531183949,45.74589504045462,49.122187169235,56.47648461025217
TH+CLS,22.433054192119407,46.73423519896479,65.51044459952004,96.7219581827855,53.3046460316511,69.01759052771297,73.83256672609792,37.648842163431766,44.15793723209264,45.471628312197694,48.95275452151397,54.889605244371616
CLS+TH,0.028160271989959674,99.22764188114634,97.28919398514434,100.0,97.90155961238536,100.0,100.0,99.22984729689499,92.67015521257083,96.65186632814564,98.71508696301933,89.2466828682997
CLS+CLS,16.540427195687634,98.9804494979655,97.64308450981473,100.0,97.87243717970843,100.0,100.0,94.53078172867853,94.02243462382805,96.04200763596467,98.07091407607223,90.33659422251998
