,ABCG,ABG,BC,CG,BCG,BG,AG,ABC,ACG,AC,AB,Avg
TH+TH,90.755,95.77850000000001,97.17750000000001,98.543,95.69,98.49599999999998,97.91500000000002,89.962,95.319,94.12750000000001,94.48400000000001,95
TH+CLS,74.454,88.93350000000001,95.111,87.39799999999998,80.32,96.1805,96.561,82.6125,88.69500000000001,93.18999999999998,93.444,89
CLS+TH,74.254,88.7625,94.04499999999999,91.95200000000001,82.47149999999999,96.066,96.457,67.553,86.9515,88.53000000000002,90.01199999999999,87
CLS+CLS,90.23700000000001,99.956,99.94050000000001,91.246,91.69800000000001,99.95400000000001,99.94450000000002,99.819,99.9375,99.92049999999999,99.911,98
