,ABCG,ABG,BC,CG,BCG,BG,AG,ABC,ACG,AC,AB,avg
TH+TH,0.009696993054874682,43.63442317225722,61.208009508508134,62.66681820604206,52.52455005803115,64.51504303133457,75.17504343400367,97.62782557663522,46.309918953062706,51.06158917877137,57.07477351848759,55.618881057289876
TH+CLS,24.222240427531265,43.83298099712416,59.52009021918692,83.68528467511696,59.73759942788214,64.31151914944004,75.14985941162797,39.271593983384754,45.08136487971162,51.023084609609256,56.92800256896722,54.79669275905294
CLS+TH,0.01774281630517644,99.15351573861285,98.38280583088458,90.0,99.50087257249203,100.0,100.0,98.42897386836,99.32682180902373,98.22310429933262,99.03304936362062,89.27880784533014
CLS+CLS,6.3827663053875145,99.31167696573227,98.4420301032721,90.0,99.40114940530815,100.0,100.0,90.48817921338652,99.4457290445629,98.06578938863973,98.66858152865636,89.1096274504496
