Time;Voltage
3,38;1,031938156
3,39;1,03186173
3,4;1,03181232
3,41;1,031790128
3,42;1,031793938
3,43;1,03182121
3,44;1,031868268
3,45;1,031930557
3,46;1,032002939
3,47;1,032080016
3,48;1,032156427
3,49;1,032227124
3,5;1,03228759
3,51;1,032333995
3,52;1,0323633
3,53;1,032373291
3,54;1,032362576
3,55;1,032330542
3,56;1,032277301
3,57;1,032203612
3,58;1,032110825
3,59;1,032000808
3,6;1,031875899
3,61;1,031738848
3,62;1,03159276
3,63;1,031441031
3,64;1,031287261
3,65;1,031135158
3,66;1,030988413
3,67;1,030850571
3,68;1,030724885
3,69;1,030614173
3,7;1,030520696
3,71;1,030446048
3,72;1,030391089
3,73;1,030355913
3,74;1,030339864
3,75;1,030341588
3,76;1,030359133
3,77;1,030390067
3,78;1,030431621
3,79;1,030480843
3,8;1,030534738
3,81;1,030590402
3,82;1,030645133
3,83;1,030696517
3,84;1,030742485
3,85;1,030781349
3,86;1,030811816
3,87;1,030832987
3,88;1,03084435
3,89;1,030845759
3,9;1,030837425
3,91;1,030819892
3,92;1,030794023
3,93;1,030760975
3,94;1,030722176
3,95;1,030679283
3,96;1,030634131
3,97;1,030588671
3,98;1,03054489
3,99;1,030504726
4;1,03046997
4,01;1,030442178
4,02;1,030422583
4,03;1,030412032
4,04;1,030410934
4,05;1,030419241
4,06;1,03043646
4,07;1,030461685
4,08;1,030493659
4,09;1,030530856
4,1;1,030571575
4,11;1,030614037
4,12;1,030656481
4,13;1,030697254
4,14;1,030734876
4,15;1,030768102
4,16;1,030795947
4,17;1,030817711
4,18;1,030832973
4,19;1,030841582
4,2;1,030843634
4,21;1,030839447
4,22;1,030829539
4,23;1,030814597
4,24;1,030795457
4,25;1,030773085
4,26;1,030748553
4,27;1,030723018
4,28;1,030697701
4,29;1,030673855
4,3;1,030652737
4,31;1,030635564
4,32;1,030623474
4,33;1,030617486
4,34;1,030618451
4,35;1,030627021
4,36;1,030643612
4,37;1,03066839
4,38;1,030701259
4,39;1,030741864
4,4;1,030789612
4,41;1,0308437
4,42;1,030903148
4,43;1,030966851
4,44;1,03103362
4,45;1,031102235
4,46;1,031171486
4,47;1,031240217
4,48;1,031307359
4,49;1,031371958
4,5;1,031433197
4,51;1,031490412
4,52;1,031543099
4,53;1,03159092
4,54;1,031633709
4,55;1,031671463
4,56;1,031704344
4,57;1,031732668
4,58;1,031756895
4,59;1,031777612
4,6;1,031795516
4,61;1,031811389
4,62;1,031826068
4,63;1,031840417
4,64;1,031855287
4,65;1,031871487
4,66;1,031889748
4,67;1,031910695
4,68;1,03193482
4,69;1,031962467
4,7;1,03199382
4,71;1,032028906
4,72;1,032067597
4,73;1,032109627
4,74;1,032154613
4,75;1,032202078
4,76;1,03225148
4,77;1,032302241
4,78;1,032353769
4,79;1,032405491
4,8;1,032456867
4,81;1,032507413
4,82;1,032556714
4,83;1,032604435
4,84;1,032650328
4,85;1,03269424
4,86;1,032736113
4,87;1,032775988
4,88;1,032813998
4,89;1,032850374
4,9;1,03288543
4,91;1,03291956
4,92;1,032953225
4,93;1,03298694
4,94;1,033021251
4,95;1,03305672
4,96;1,0330939
4,97;1,033133311
4,98;1,033175415
4,99;1,033220597
5;1,033269141
5,01;1,03332122
5,02;1,033376879
5,03;1,033436037
5,04;1,033498483
5,05;1,033563888
5,06;1,033631813
5,07;1,033701729
5,08;1,03377304
5,09;1,0338451
5,1;1,033917246
5,11;1,033988813
5,12;1,034059167
5,13;1,034127718
5,14;1,034193944
5,15;1,034257404
5,16;1,034317752
5,17;1,034374743
5,18;1,034428242
5,19;1,034478226
5,2;1,034524777
5,21;1,034568085
5,22;1,034608433
5,23;1,034646192
5,24;1,034681806
5,25;1,034715772
5,26;1,03474863
5,27;1,034780937
5,28;1,034813252
5,29;1,034846113
5,3;1,03488002
5,31;1,034915417
5,32;1,034952678
5,33;1,034992096
5,34;1,035033875
5,35;1,035078123
5,36;1,035124858
5,37;1,035174007
5,38;1,035225415
5,39;1,035278857
5,4;1,03533405
5,41;1,035390664
5,42;1,035448344
5,43;1,035506719
5,44;1,035565423
5,45;1,035624102
5,46;1,035682432
5,47;1,035740128
5,48;1,035796951
5,49;1,03585272
5,5;1,035907307
5,51;1,035960648
5,52;1,036012738
5,53;1,036063632
5,54;1,036113436
5,55;1,036162306
5,56;1,036210437
5,57;1,03625805
5,58;1,03630539
5,59;1,036352705
5,6;1,03640024
5,61;1,03644822
5,62;1,036496844
5,63;1,036546271
5,64;1,036596613
5,65;1,036647928
5,66;1,036700218
5,67;1,036753427
5,68;1,036807443
5,69;1,036862103
5,7;1,036917201
5,71;1,036972492
5,72;1,037027708
5,73;1,037082566
5,74;1,037136784
5,75;1,037190084
5,76;1,037242211
5,77;1,037292942
5,78;1,037342087
5,79;1,037389506
5,8;1,037435105
5,81;1,037478844
5,82;1,037520737
5,83;1,03756085
5,84;1,0375993
5,85;1,037636248
5,86;1,037671896
5,87;1,037706481
5,88;1,037740263
5,89;1,037773522
5,9;1,037806544
5,91;1,037839612
5,92;1,037873002
5,93;1,037906968
5,94;1,037941738
5,95;1,037977505
5,96;1,038014421
5,97;1,038052595
5,98;1,038092089
5,99;1,038132916
6;1,038175043
6,01;1,038218393
6,02;1,038262848
6,03;1,038308256
6,04;1,038354437
6,05;1,038401189
6,06;1,038448295
6,07;1,038495535
6,08;1,03854269
6,09;1,038589547
6,1;1,038635912
6,11;1,038681608
6,12;1,038726484
6,13;1,03877042
6,14;1,038813323
6,15;1,038855135
6,16;1,038895827
6,17;1,038935403
6,18;1,038973895
6,19;1,03901136
6,2;1,039047877
6,21;1,039083542
6,22;1,039118464
6,23;1,039152757
6,24;1,039186537
6,25;1,039219919
6,26;1,039253007
6,27;1,039285893
6,28;1,039318653
6,29;1,039351343
6,3;1,039384001
6,31;1,039416641
6,32;1,039449257
6,33;1,039481825
6,34;1,039514301
6,35;1,039546629
6,36;1,03957874
6,37;1,039610559
6,38;1,039642009
6,39;1,039673013
6,4;1,0397035
6,41;1,039733406
6,42;1,039762682
6,43;1,039791291
6,44;1,039819214
6,45;1,039846449
6,46;1,039873012
6,47;1,039898938
6,48;1,039924279
6,49;1,039949101
6,5;1,039973486
6,51;1,039997525
6,52;1,040021318
6,53;1,04004497
6,54;1,040068585
6,55;1,040092266
6,56;1,040116107
6,57;1,040140196
6,58;1,040164603
6,59;1,040189386
6,6;1,040214584
6,61;1,040240213
6,62;1,040266273
6,63;1,040292741
6,64;1,040319572
6,65;1,040346705
6,66;1,040374061
6,67;1,040401547
6,68;1,040429056
6,69;1,040456477
6,7;1,040483691
6,71;1,040510582
6,72;1,040537035
6,73;1,04056294
6,74;1,0405882
6,75;1,040612729
6,76;1,040636455
6,77;1,040659324
6,78;1,040681299
6,79;1,040702362
6,8;1,040722512
6,81;1,040741768
