,ABCG,ABG,BC,CG,BCG,BG,AG,ACG,AC,AB,avg
RangeDataset,94.05070013821467,99.19528156682914,100.0,100.0,98.92459100816828,100.0,100.0,98.93504753551353,99.39479071666486,96.32680833449987,98.68272192998903
ThresholdDataset,93.971159213596,97.39354983533309,100.0,100.0,99.45823809271182,100.0,100.0,97.22909104875359,99.44255180423963,98.41598583660367,98.59105758312378
ClusterDataset,95.82649155254497,98.01617292499273,100.0,100.0,99.47034402637595,100.0,100.0,99.72599912152609,99.53250681196565,98.97509744945134,99.15466118868568
