1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
1,1,1,1,1,1,NML
0.96922,0.97023,0.96888,91.088,91.744,91.971,NML
0.9693,0.97023,0.96891,91.052,91.588,91.612,NML
0.97166,0.97403,0.96957,90.779,91.917,91.581,NML
0.97142,0.97973,0.97104,90.642,92.397,91.876,NML
0.9662,0.98562,0.97321,90.818,92.789,92.435,NML
0.95582,0.99046,0.9758,91.313,92.979,93.169,NML
0.94093,0.9929,0.97841,92.062,92.869,93.958,NML
0.92293,0.99164,0.98065,92.941,92.418,94.65,NML
0.90377,0.98569,0.98213,93.799,91.655,95.079,NML
0.88573,0.97461,0.98251,94.477,90.668,95.088,NML
0.87116,0.9587,0.98158,94.831,89.576,94.553,NML
0.86212,0.93913,0.97926,94.742,88.515,93.411,NML
0.86003,0.91796,0.97565,94.133,87.624,91.681,NML
0.86528,0.89794,0.97111,92.988,87.023,89.477,NML
0.87711,0.88215,0.96618,91.363,86.806,87.012,NML
0.89364,0.87339,0.96159,89.397,87.02,84.583,NML
0.91227,0.87343,0.95808,87.311,87.651,82.541,NML
0.93016,0.88245,0.95632,85.379,88.622,81.228,NML
0.9447,0.89887,0.95672,83.89,89.797,80.896,NML
0.95388,0.91973,0.95938,83.088,91.009,81.622,NML
0.95646,0.94133,0.96404,83.114,92.085,83.277,NML
0.95203,0.95994,0.97013,83.969,92.877,85.543,NML
0.94103,0.97231,0.97682,85.515,93.28,87.994,NML
0.92463,0.97593,0.98318,87.506,93.246,90.18,NML
0.90465,0.96933,0.98823,89.635,92.786,91.698,NML
0.88345,0.95222,0.99108,91.582,91.965,92.23,NML
0.86375,0.92568,0.99105,93.048,90.897,91.576,NML
0.84839,0.89236,0.98774,93.784,89.723,89.665,NML
0.83998,0.8565,0.98115,93.617,88.607,86.582,NML
0.84051,0.82379,0.9718,92.467,87.711,82.586,NML
0.85089,0.80059,0.96066,90.366,87.179,78.13,NML
0.87068,0.79236,0.94919,87.461,87.115,73.869,NML
0.89813,0.80178,0.93909,84.023,87.568,70.61,NML
0.9305,0.82745,0.93206,80.432,88.517,69.142,NML
0.96459,0.8645,0.92945,77.151,89.873,69.948,NML
0.98788,0.90234,0.93162,74.777,91.025,72.476,NML
0.99747,0.9348,0.93806,73.679,91.741,75.998,NML
1.0017,0.96173,0.94788,73.899,92.312,80.134,NML
1.001,0.98071,0.9597,75.347,92.683,84.219,NML
0.99614,0.99048,0.97179,77.715,92.837,87.744,NML
0.98841,0.9909,0.98238,80.57,92.783,90.372,NML
0.97933,0.98278,0.98978,83.446,92.562,91.915,NML
0.97043,0.96789,0.99261,85.914,92.227,92.312,NML
0.96309,0.94873,0.98995,87.631,91.842,91.621,NML
0.95826,0.9284,0.98153,88.36,91.47,90.008,NML
0.95641,0.91016,0.96779,87.99,91.164,87.743,NML
0.95738,0.89692,0.95003,86.536,90.959,85.192,NML
0.96054,0.89063,0.9303,84.134,90.868,82.781,NML
0.96495,0.89188,0.91123,81.035,90.88,80.934,NML
0.96962,0.89984,0.89566,77.589,90.962,79.989,NML
0.97378,0.91263,0.8861,74.221,91.075,80.097,NML
0.97697,0.92792,0.88423,71.397,91.18,81.188,NML
0.97902,0.9434,0.89042,69.56,91.253,83.002,NML
0.98,0.95712,0.90371,69.046,91.29,85.194,NML
0.98007,0.96771,0.92199,69.984,91.297,87.424,NML
0.9794,0.9744,0.94243,72.249,91.289,89.414,NML
0.97817,0.97708,0.96192,75.496,91.277,90.97,NML
0.97653,0.97622,0.97743,79.25,91.265,91.983,NML
0.9747,0.97273,0.98636,83.017,91.249,92.426,NML
0.97295,0.96778,0.98682,86.359,91.226,92.345,NML
0.97157,0.96252,0.9778,88.947,91.193,91.843,NML
0.97078,0.95788,0.95945,90.573,91.157,91.067,NML
0.97062,0.95444,0.93316,91.157,91.125,90.179,NML
0.97093,0.95233,0.90154,90.742,91.107,89.332,NML
0.97138,0.95143,0.86835,89.477,91.104,88.641,NML
0.97163,0.95153,0.83803,87.604,91.11,88.171,NML
0.9715,0.95255,0.81507,85.432,91.113,87.936,NML
0.97103,0.95449,0.80308,83.307,91.098,87.913,NML
0.97044,0.95722,0.80388,81.575,91.06,88.078,NML
0.96998,0.96034,0.81699,80.532,91.006,88.408,NML
0.96975,0.96327,0.83976,80.373,90.946,88.87,NML
0.96972,0.96548,0.86813,81.143,90.893,89.394,NML
0.96978,0.96671,0.89747,82.731,90.857,89.891,NML
0.96983,0.96703,0.92328,84.886,90.842,90.284,NML
0.96979,0.96675,0.94175,87.283,90.844,90.527,NML
0.96966,0.96631,0.95002,89.588,90.858,90.621,NML
